category,patch_file,dissimilarity_d1,dissimilarity_d3,dissimilarity_d5,correlation_d1,correlation_d3,correlation_d5,contrast_d1,contrast_d3,contrast_d5,energy_d1,energy_d3,energy_d5,homogeneity_d1,homogeneity_d3,homogeneity_d5,ASM_d1,ASM_d3,ASM_d5
gres,gres_p_256_256.png,2.7289868017236047,2.9752902061287445,3.1131247561134208,0.43119513455104946,0.32546152020389907,0.26054278781646606,12.324872657557824,14.644265798217408,16.068580822689565,0.09358560407028846,0.09123344807051556,0.09018995356380245,0.30148609049273023,0.2810589364249201,0.27251573975949556,0.008758710880329312,0.008323581999268956,0.008134291700613687
gres,gres_p_256_384.png,2.851878192037635,3.0895294627110075,3.190173119152007,0.4790169652541416,0.3901511520619332,0.34572792934339425,13.520503998039269,15.742131928697383,16.8077524569755,0.08625654464807425,0.08405484863031423,0.08348667432010101,0.2919024804645229,0.2722784588310976,0.2661649648783261,0.007440755911390173,0.007065225246868093,0.006970138293122403
gres,gres_p_384_0.png,2.4103983168903858,2.6693852001448706,2.8070417490196955,0.3830197741325333,0.24912569650460606,0.17035708339307962,9.936039969736202,12.097680551618776,13.362227531106447,0.11259727297510037,0.10956400046827608,0.10823447207752981,0.3365391295654714,0.31102480497113855,0.29906626775410944,0.012679717715217526,0.012004355917636248,0.011714883635858424
gres,gres_p_384_128.png,2.1081869468426455,2.2938009928508443,2.401552737927548,0.41722291327731664,0.31105701458400736,0.25025628394219684,7.492714864335986,8.86295967576845,9.654313018440735,0.12299373743517567,0.12005436701302036,0.1188827653653976,0.3665948295306007,0.345934251280361,0.3337141600974113,0.015129870524899126,0.014413081090250702,0.014133135655130052
gres,gres_p_384_256.png,2.2393909553444122,2.512311011904759,2.6443946173373343,0.41267250135732453,0.2665801505845031,0.18786609834126194,8.418792673522855,10.528451546359273,11.652050078175883,0.11750039378934374,0.11409255614771645,0.11302480028947595,0.35105296382147055,0.32278778211553305,0.3100428723568943,0.013808317419582054,0.013017164558697461,0.012774636434663417
gres,gres_p_384_384.png,2.2626294979152464,2.584996988378684,2.742324297897471,0.48148043501085835,0.32714868707993594,0.24147747886215612,8.414303355950466,10.893392443783068,12.226379039792771,0.10682098480369426,0.10287820715171749,0.10153260341308809,0.3445791261024006,0.3102303447568512,0.2973603476492091,0.011415666689509867,0.010584215024792716,0.010309083059995304
laminat,laminat_p_0_0.png,0.2985388314526629,0.5070425563744015,0.6243274612848236,0.8228698073225778,0.6669199759700621,0.5525312453177725,0.3332896587668176,0.6304650336986648,0.8553367604354374,0.43022107889133265,0.37139472469387114,0.34965949433032517,0.8541576624973103,0.7587789199476088,0.7107397248060302,0.1862087174078933,0.1387744010745853,0.12316259348491794
laminat,laminat_p_0_128.png,0.32482966919058837,0.5465265337616529,0.645614760729423,0.8314180287768838,0.6760699153826384,0.589660221556603,0.3561230208397917,0.683980001259763,0.8684420287556152,0.3896249276698244,0.33186267074790154,0.3151559143143765,0.8407145005696262,0.7404488710298934,0.6994093162759378,0.1526604041124601,0.11057625177883412,0.09977836031535786
laminat,laminat_p_0_256.png,0.36644507273389554,0.6030773888259007,0.6917972781729315,0.7449614380442676,0.5096083040236657,0.3990392297466973,0.4252577606717714,0.8167441578483243,0.9998775114368927,0.40414903978723643,0.34733850671126776,0.3341517886151304,0.8225860852368623,0.7194613658501438,0.6842172592788831,0.1640893925168642,0.12091439218128058,0.1119155714063396
laminat,laminat_p_0_384.png,0.37444950671151356,0.6163920540438396,0.7583050484389143,0.7816024102876202,0.5832658260789546,0.426225269596871,0.454005595511191,0.8658871488410177,1.1966077591357664,0.38140252432693766,0.32594210981778726,0.3064393486384007,0.8206610199065989,0.7164286029760905,0.6633883221132957,0.14690853937886578,0.10709593470648307,0.09473349124716815
laminat,laminat_p_128_0.png,0.2649406978501458,0.46207398352859647,0.5634856586761757,0.8470440677032706,0.7101542760530168,0.6194408263434213,0.28763734480593967,0.541859296264802,0.7048247374220621,0.41819339045813586,0.3563022631791528,0.335657591780167,0.8697269690689691,0.7768773104843789,0.7322972074608074,0.17580861134593875,0.12755210083196705,0.11317045137771672
laminat,laminat_p_128_128.png,0.27515546046717093,0.47391064342403627,0.5722685000856577,0.8239560476861723,0.664944919158971,0.5666207817264426,0.2904627098316697,0.5526097804862686,0.7149399001347259,0.42745079073752223,0.36630184583611436,0.3463504941768417,0.8639508235588162,0.7708657331985502,0.7280945385893265,0.1835095472939809,0.13468388628199082,0.12051493160189705
laminat,laminat_p_128_256.png,0.4191123616622235,0.6718233890778532,0.7702720472143261,0.7874907689021476,0.62280197576834,0.541477130502795,0.5953833157666317,1.0632211278029726,1.3052424741493445,0.343121086817096,0.2915268733681103,0.2779268270304178,0.805932581511272,0.7003829992827382,0.664331707111607,0.1186361414643852,0.08542382814545274,0.0776640694116198
laminat,laminat_p_128_384.png,0.3222366835358671,0.536530435090703,0.651912206252168,0.7879155374195581,0.6283185307060406,0.5225565268708726,0.41047811783123556,0.7198539580183925,0.9270109770109475,0.4019899082758687,0.3430829156071903,0.32221112146555225,0.8468076847936743,0.7494306994907092,0.7009926910629323,0.1630461075091525,0.11875151954719086,0.10478588387681773
laminat,laminat_p_256_0.png,0.27052749027373063,0.4526476009385235,0.5541775027653698,0.8334425570964447,0.6982595623816783,0.6093443836152135,0.3002427450167401,0.5426760637125221,0.6988517800151012,0.44103650050605603,0.38401699556304386,0.36103225869994066,0.8676470718096273,0.782554603969148,0.7372180227881402,0.19534332257337675,0.14797167939529976,0.13085394886693164
laminat,laminat_p_256_128.png,0.2810419605214212,0.4930615079365077,0.6216417677639317,0.8146863945085746,0.6248002863335166,0.47023005885213076,0.30537822013144045,0.6112686681153943,0.8547633956519718,0.4396927058772715,0.377681387067028,0.3556265011099708,0.8619017386931832,0.7652164017494458,0.7120811171715962,0.19420286526813887,0.14318697142290027,0.12695528524976318
laminat,laminat_p_256_256.png,0.39173167799460623,0.6395527958868733,0.7411365240042554,0.8045589454668418,0.6316391872920182,0.5372028917349541,0.4993338619489741,0.9289018368921642,1.1428737631183221,0.35430259294084215,0.30058528093688036,0.2871727606080856,0.814287446914396,0.7081383538231164,0.6677475749625756,0.12659134919929424,0.09086236275435491,0.0828777289481113
laminat,laminat_p_256_384.png,0.37888263667152344,0.5978462892101284,0.6980520435447916,0.7279281944108864,0.5346129864778321,0.42538708550497617,0.4926940361693225,0.8462295485323755,1.0496273327189243,0.4031734521711074,0.3467323670158784,0.32968952614449565,0.8215761380964698,0.7253735828542067,0.6851764761703952,0.16385494832850317,0.12083715257643933,0.10921547056306191
laminat,laminat_p_384_0.png,0.3645405064247629,0.5847279029667423,0.6827762012173972,0.7812479218606556,0.6148193457256765,0.5226349306194983,0.4823174919787341,0.849954652462837,1.0535117552007986,0.3924346918005927,0.3355715300966804,0.31936261492989027,0.8290606614691756,0.7327420488487125,0.6936852553054267,0.15493969818712186,0.11312891030480349,0.10243795217261842
